page,course_code,course_name,group,day,start_time,end_time,activity_type,mode,room
1,ATE075,NEUROFOCUS : STRATÉGIES D'ÉTUDES OPTIMALES,01,Wednesday,09:00,12:30,Workshop,In-person,E-2025
1,ATE085,NEUROFOCUS : ÉQUILIBRE DE VIE AUX ÉTUDES,01,Wednesday,13:30,17:00,Workshop,In-person,E-2025
2,CHM131,CHIMIE ET MATÉRIAUX,01,Friday,13:30,16:30,Lab,In-person,B-1708
2,CHM131,CHIMIE ET MATÉRIAUX,01,Monday,09:00,12:30,Lecture,In-person,B-1404
2,CHM131,CHIMIE ET MATÉRIAUX,02,Thursday,09:00,12:00,Lab,In-person,B-1720
2,CHM131,CHIMIE ET MATÉRIAUX,02,Tuesday,09:00,12:30,Lecture,In-person,B-1502
2,CHM131,CHIMIE ET MATÉRIAUX,03,Thursday,13:30,17:00,Lecture,In-person,B-1404
2,CHM131,CHIMIE ET MATÉRIAUX,03,Tuesday,13:30,16:30,Lab,In-person,B-1720
2,CHM131,CHIMIE ET MATÉRIAUX,04,Friday,09:00,12:30,Lecture,In-person,B-1708
2,CHM131,CHIMIE ET MATÉRIAUX,04,Wednesday,13:30,16:30,Lab,In-person,B-1720
2,CHM131,CHIMIE ET MATÉRIAUX,05,Monday,13:30,17:00,Lecture,In-person,B-1404
2,CHM131,CHIMIE ET MATÉRIAUX,05,Wednesday,09:00,12:00,Lab,In-person,B-1720
2,CHM131,CHIMIE ET MATÉRIAUX,06,Friday,13:30,17:00,Lecture,In-person,B-1516
2,CHM131,CHIMIE ET MATÉRIAUX,06,Monday,09:00,12:00,Lab,In-person,B-1720
2,CHM131,CHIMIE ET MATÉRIAUX,07,Thursday,09:00,12:30,Lecture,In-person,B-1516
2,CHM131,CHIMIE ET MATÉRIAUX,07,Tuesday,09:00,12:00,Lab,In-person,B-1720
2,CHM131,CHIMIE ET MATÉRIAUX,08,Thursday,13:30,16:30,Lab,In-person,B-1720
2,CHM131,CHIMIE ET MATÉRIAUX,08,Tuesday,13:30,17:00,Lecture,In-person,B-1516
2,CHM131,CHIMIE ET MATÉRIAUX,09,Friday,09:00,12:00,Lab,In-person,B-1720
2,CHM131,CHIMIE ET MATÉRIAUX,09,Wednesday,13:30,17:00,Lecture,In-person,B-1708
2,CHM131,CHIMIE ET MATÉRIAUX,10,Friday,18:00,21:00,Lab,In-person,B-1708
2,CHM131,CHIMIE ET MATÉRIAUX,10,Thursday,18:00,21:30,Lecture,In-person,B-1516
2,CHM131,CHIMIE ET MATÉRIAUX,11,Monday,18:00,21:30,Lecture,In-person,B-1504
2,CHM131,CHIMIE ET MATÉRIAUX,11,Tuesday,18:00,21:00,Lab,In-person,B-1720
2,CHM131,CHIMIE ET MATÉRIAUX,12,Saturday,09:00,12:30,Lecture,In-person,B-1720
2,CHM131,CHIMIE ET MATÉRIAUX,12,Saturday,13:30,16:30,Lab,In-person,B-1720
2,CHM131,CHIMIE ET MATÉRIAUX,15,Thursday,09:00,12:30,Lecture,In-person,B-3416
2,CHM131,CHIMIE ET MATÉRIAUX,15,Tuesday,09:00,12:00,Lab,In-person,B-1516
2,COM210,RÉDACTION TECHNIQUE ET COMMUNICATION EN,01,Friday,13:30,17:00,Lecture,In-person,D-4008
2,COM210,RÉDACTION TECHNIQUE ET COMMUNICATION EN,01,Tuesday,08:30,12:30,Lab,,B-3410
2,ENT201,GESTION FINANCIÈRE D'ENTREPRISE,01,Friday,09:00,11:00,Lab,In-person,E-2022
2,ENT201,GESTION FINANCIÈRE D'ENTREPRISE,01,Thursday,09:00,12:30,Lecture,In-person,E-4024
2,ENT202,INTRODUCTION À L'ENTREPRENEURSHIP,01,Monday,09:00,12:30,Lecture,In-person,B-3414
2,ENT202,INTRODUCTION À L'ENTREPRENEURSHIP,01,Tuesday,18:00,20:00,Lab,In-person,B-3416
2,ENT202,INTRODUCTION À L'ENTREPRENEURSHIP,02,Tuesday,18:00,20:00,Lab,In-person,B-3414
2,ENT202,INTRODUCTION À L'ENTREPRENEURSHIP,02,Wednesday,09:00,12:30,Lecture,In-person,B-3414
3,ETH610,ENJEUX ÉTHIQUES DE L’INTELLIGENCE ARTIFICIELLE,01,Monday,08:30,10:30,Lab,,D-3018
3,ETH610,ENJEUX ÉTHIQUES DE L’INTELLIGENCE ARTIFICIELLE,01,Monday,10:30,12:30,Lab,,D-3018
3,ETH610,ENJEUX ÉTHIQUES DE L’INTELLIGENCE ARTIFICIELLE,01,Thursday,09:00,12:30,Lecture,In-person,B-1506
3,GIA400,ANALYSE DE RENTABILITÉ DE PROJETS,01,Monday,13:30,17:30,Lab,,B-3402
3,GIA400,ANALYSE DE RENTABILITÉ DE PROJETS,01,Thursday,13:30,17:00,Lecture,In-person,D-4018
