page,course_code,course_name,group,day,start_time,end_time,activity_type,mode,room
1,CHM131,CHIMIE ET MATÉRIAUX,01,Friday,09:00,12:00,Lab,In-person,B-1516
1,CHM131,CHIMIE ET MATÉRIAUX,01,Monday,09:00,12:30,Lecture,In-person,B-1720
1,CHM131,CHIMIE ET MATÉRIAUX,02,Thursday,13:30,17:00,Lecture,In-person,B-1404
1,CHM131,CHIMIE ET MATÉRIAUX,02,Tuesday,09:00,12:00,Lab,In-person,B-1404
1,CHM131,CHIMIE ET MATÉRIAUX,03,Monday,13:30,17:00,Lecture,In-person,B-1504
1,CHM131,CHIMIE ET MATÉRIAUX,03,Wednesday,13:30,16:30,Lab,In-person,B-1404
1,CHM131,CHIMIE ET MATÉRIAUX,04,Friday,13:30,17:00,Lecture,In-person,B-1506
1,CHM131,CHIMIE ET MATÉRIAUX,04,Tuesday,13:30,16:30,Lab,In-person,B-1716
1,CHM131,CHIMIE ET MATÉRIAUX,05,Monday,18:00,21:30,Lecture,In-person,B-1504
1,CHM131,CHIMIE ET MATÉRIAUX,05,Thursday,18:00,21:00,Lab,In-person,B-1502
1,COM410,RÉDACTION TECHNIQUE ET COMMUNICATION EN,01,Friday,13:30,17:30,Lab,In-person,B-3408
1,COM410,RÉDACTION TECHNIQUE ET COMMUNICATION EN,01,Wednesday,13:30,17:00,Lecture,In-person,D-4007
1,ELE747,ANALYSE ET TRAITEMENT D'IMAGES,01,Thursday,08:30,12:30,Lab,,A-2446
1,ELE747,ANALYSE ET TRAITEMENT D'IMAGES,01,Tuesday,13:30,17:00,Lecture,Hybrid,D-4007
1,ENT202,INTRODUCTION À L’ENTREPRENEURIAT,01,Friday,09:00,11:00,Lab,In-person,B-0904
1,ENT202,INTRODUCTION À L’ENTREPRENEURIAT,01,Tuesday,13:30,17:00,Lecture,In-person,B-1504
2,ETH310,ENCADREMENT DE LA PROFESSION ET ÉTHIQUE,01,Wednesday,10:30,12:30,Workshop,In-person,B-1514
2,ETH310,ENCADREMENT DE LA PROFESSION ET ÉTHIQUE,02,Monday,15:30,17:30,Workshop,In-person,B-1518
2,ETH310,ENCADREMENT DE LA PROFESSION ET ÉTHIQUE,03,Friday,10:30,12:30,Workshop,In-person,B-1502
2,ETH310,ENCADREMENT DE LA PROFESSION ET ÉTHIQUE,04,Tuesday,10:30,12:30,Workshop,In-person,B-3402
2,ETH310,ENCADREMENT DE LA PROFESSION ET ÉTHIQUE,05,Wednesday,18:00,20:00,Workshop,Hybrid,
2,ETH310,ENCADREMENT DE LA PROFESSION ET ÉTHIQUE,06,Thursday,15:30,17:30,Workshop,In-person,B-1502
2,ETH310,ENCADREMENT DE LA PROFESSION ET ÉTHIQUE,08,Tuesday,10:30,12:30,Workshop,In-person,B-1706
2,ETH310,ENCADREMENT DE LA PROFESSION ET ÉTHIQUE,09,Wednesday,18:00,20:00,Workshop,Hybrid,V. Rochelle
3,ETH610,ENJEUX ÉTHIQUES DE L’INTELLIGENCE ARTIFICIELLE,02,Thursday,08:30,10:30,Lab,,B-3402
3,ETH610,ENJEUX ÉTHIQUES DE L’INTELLIGENCE ARTIFICIELLE,02,Thursday,10:30,12:30,Lab,,B-3402
3,ETH610,ENJEUX ÉTHIQUES DE L’INTELLIGENCE ARTIFICIELLE,02,Wednesday,09:00,12:30,Lecture,In-person,B-1502
3,GIA400,ANALYSE DE RENTABILITÉ DE PROJETS,01,Thursday,08:30,12:30,Lab,In-person,B-1706
3,GIA400,ANALYSE DE RENTABILITÉ DE PROJETS,01,Wednesday,09:00,12:30,Lecture,In-person,E-4024
3,GIA400,ANALYSE DE RENTABILITÉ DE PROJETS,02,Friday,13:30,17:30,Lab,In-person,B-3402
3,GIA400,ANALYSE DE RENTABILITÉ DE PROJETS,02,Thursday,13:30,17:00,Lecture,In-person,D-4018
3,GIA400,ANALYSE DE RENTABILITÉ DE PROJETS,03,Monday,09:00,12:30,Lecture,In-person,B-1516
3,GIA400,ANALYSE DE RENTABILITÉ DE PROJETS,03,Tuesday,08:30,12:30,Lab,In-person,B-1708
3,GIA400,ANALYSE DE RENTABILITÉ DE PROJETS,04,Monday,18:00,21:30,Lecture,Hybrid,K. Lagacé
3,GIA400,ANALYSE DE RENTABILITÉ DE PROJETS,04,Wednesday,18:00,22:00,Lab,Hybrid,K. Lagacé
3,GIA400,ANALYSE DE RENTABILITÉ DE PROJETS,05,Monday,08:30,12:30,Lab,In-person,F-2054
3,GIA400,ANALYSE DE RENTABILITÉ DE PROJETS,05,Tuesday,09:00,12:30,Lecture,In-person,F-2054
3,GIA602,ERGONOMIE ET SÉCURITÉ EN MILIEU INDUSTRIEL,01,Tuesday,13:30,17:00,Lecture,Hybrid,D-3010
3,GIA602,ERGONOMIE ET SÉCURITÉ EN MILIEU INDUSTRIEL,01,Wednesday,13:30,17:30,Lab,,D-4009
3,GIA602,ERGONOMIE ET SÉCURITÉ EN MILIEU INDUSTRIEL,02,Monday,18:00,22:00,Lab,,D-4017
3,GIA602,ERGONOMIE ET SÉCURITÉ EN MILIEU INDUSTRIEL,02,Wednesday,18:00,21:30,Lecture,Hybrid,D-3025
3,GPE450,GESTION DU PERSONNEL ET RELATIONS,01,Monday,08:30,12:00,Lecture,Distance,S. Tétreault
3,GPE450,GESTION DU PERSONNEL ET RELATIONS,01,Wednesday,08:30,10:30,Lab,Distance,S. Tétreault
3,GPE450,GESTION DU PERSONNEL ET RELATIONS,02,Tuesday,13:30,15:30,Lab,Distance,S. Tétreault
3,GPE450,GESTION DU PERSONNEL ET RELATIONS,02,Wednesday,13:30,17:00,Lecture,Distance,S. Tétreault
3,GPE450,GESTION DU PERSONNEL ET RELATIONS,03,Tuesday,18:00,21:30,Lecture,Distance,S. Tétreault
3,GPE450,GESTION DU PERSONNEL ET RELATIONS,03,Wednesday,18:00,20:00,Lab,Distance,S. Tétreault
3,GTI320,PROGRAMMATION MATHÉMATIQUE : PATRONS ET,01,Monday,13:30,15:30,Lab,,A-3346
3,GTI320,PROGRAMMATION MATHÉMATIQUE : PATRONS ET,01,Monday,15:30,17:30,Lab,,A-3346
3,GTI320,PROGRAMMATION MATHÉMATIQUE : PATRONS ET,01,Thursday,13:30,17:00,Lecture,In-person,D-5023
3,GTI350,CONCEPTION ET ÉVALUATION DES INTERFACES,01,Monday,08:30,12:00,Lecture,In-person,D-5025
3,GTI350,CONCEPTION ET ÉVALUATION DES INTERFACES,01,Wednesday,08:30,11:30,Lab,In-person,A-3346
3,GTI350,CONCEPTION ET ÉVALUATION DES INTERFACES,02,Monday,08:30,11:30,Lab,In-person,A-3342
3,GTI350,CONCEPTION ET ÉVALUATION DES INTERFACES,02,Wednesday,08:30,12:00,Lecture,In-person,D-4019
4,GTI510,GESTION DE PROJETS ET ASSURANCE DE LA QUALITÉ,01,Monday,13:30,17:00,Lecture,In-person,D-4012
4,GTI510,GESTION DE PROJETS ET ASSURANCE DE LA QUALITÉ,01,Thursday,13:30,15:30,Lab,,A-3450
4,GTI510,GESTION DE PROJETS ET ASSURANCE DE LA QUALITÉ,01,Thursday,15:30,17:30,Lab,,A-3450
4,GTI510,GESTION DE PROJETS ET ASSURANCE DE LA QUALITÉ,02,Thursday,18:00,20:00,Lab,,
4,GTI510,GESTION DE PROJETS ET ASSURANCE DE LA QUALITÉ,02,Thursday,20:00,22:00,Lab,,A-3450
4,GTI510,GESTION DE PROJETS ET ASSURANCE DE LA QUALITÉ,02,Tuesday,18:00,21:30,Lecture,Distance,
4,GTI525,TECHNOLOGIES DE DÉVELOPPEMENT INTERNET,01,Thursday,08:30,10:30,Lab,,A-3342
4,GTI525,TECHNOLOGIES DE DÉVELOPPEMENT INTERNET,01,Thursday,10:30,12:30,Lab,,A-3342
4,GTI525,TECHNOLOGIES DE DÉVELOPPEMENT INTERNET,01,Tuesday,08:30,12:00,Lecture,Hybrid,D-4019
4,GTI611,RÉSEAUX DE COMMUNICATION IP,01,Friday,13:30,16:30,Lab,In-person,A-3346
4,GTI611,RÉSEAUX DE COMMUNICATION IP,01,Monday,08:30,12:00,Lecture,In-person,D-4012
4,GTI611,RÉSEAUX DE COMMUNICATION IP,02,Thursday,13:30,17:00,Lecture,In-person,D-3019
4,GTI611,RÉSEAUX DE COMMUNICATION IP,02,Tuesday,08:30,11:30,Lab,In-person,A-3342
4,GTI619,SÉCURITÉ DES SYSTÈMES,01,Thursday,20:00,22:00,Lab,In-person,A-3346
4,GTI619,SÉCURITÉ DES SYSTÈMES,01,Tuesday,18:00,21:30,Lecture,In-person,D-4012
4,GTI719,SÉCURITÉ DES RÉSEAUX D'ENTREPRISE,01,Monday,18:00,21:30,Lecture,In-person,D-3007
4,GTI719,SÉCURITÉ DES RÉSEAUX D'ENTREPRISE,01,Wednesday,20:00,22:00,Lab,In-person,A-3346
4,GTI720,PROTECTION DES RENSEIGNEMENTS PERSONNELS,01,Tuesday,13:30,17:00,Lecture,In-person,D-5019
4,GTI720,PROTECTION DES RENSEIGNEMENTS PERSONNELS,01,Wednesday,13:30,15:30,Lab,,A-3344
4,GTI720,PROTECTION DES RENSEIGNEMENTS PERSONNELS,01,Wednesday,15:30,17:30,Lab,,A-3344
4,GTI745,INTERFACES UTILISATEURS AVANCÉES,01,Friday,13:30,15:30,Lab,,A-3230
4,GTI745,INTERFACES UTILISATEURS AVANCÉES,01,Friday,15:30,17:30,Lab,,A-3230
4,GTI745,INTERFACES UTILISATEURS AVANCÉES,01,Tuesday,13:30,17:00,Lecture,In-person,D-3018
5,INF111,PROGRAMMATION ORIENTÉE-OBJET (HORS,80,Thursday,09:00,12:30,Lecture,In-person,B-1502
5,INF111,PROGRAMMATION ORIENTÉE-OBJET (HORS,80,Tuesday,09:00,12:00,Lab,In-person,B-1502
5,ING150,STATIQUE ET DYNAMIQUE,01,Monday,09:00,12:30,Lecture,In-person,B-3428
5,ING150,STATIQUE ET DYNAMIQUE,01,Thursday,09:00,12:00,Lab,In-person,B-3428
5,ING150,STATIQUE ET DYNAMIQUE,02,Friday,09:00,12:00,Lab,In-person,B-3402
5,ING150,STATIQUE ET DYNAMIQUE,02,Monday,13:30,17:00,Lecture,In-person,B-3428
5,ING150,STATIQUE ET DYNAMIQUE,03,Friday,13:30,16:30,Lab,In-person,B-1518
5,ING150,STATIQUE ET DYNAMIQUE,03,Tuesday,09:00,12:30,Lecture,In-person,B-3428
